"","ic","method","pval","null_l","tmt_l","null_param","oregon_param","florida_param","all_converge","valid_subset"
"1","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-67320.2793034479,-71146.2537603542,"5.89037124465238,0.897410522217276,0.864843818909467,0.077941958034297","4.59964594523851,0.927538680480724,0.718685881487686,0.0821542761866664","5.70437252816076,0.886153410704146,0.900441270607886,0.0604052588402778",TRUE,TRUE
"2","3,0.7,1,7e-04","Nelder-Mead",0,-71512.8184391626,-74005.6623834226,"3.02592090914866,0.974476179381011,0.546936107270336,0.0713180137975328","3.18561782220796,0.980523789944386,0.546175381797764,0.0809208639197912","3.99046955818398,0.917160006729649,0.726285677017138,0.0540717109062924",TRUE,TRUE
"3","2.5,0.8,0.9,0.001","Nelder-Mead",0,-71829.6370804798,-74195.9319886019,"3.37780336593552,0.968815787235961,0.585676064671466,0.0708506743465131","2.91788338502397,1.01572135370508,0.48579294575559,0.0817627635705597","3.23351057635793,0.956004625562569,0.604874481925074,0.0527763401153337",TRUE,TRUE
"4","4,0.5,0.8,9e-04","Nelder-Mead",0,-71562.7020218135,-74189.1328511268,"3.7634346935049,0.943322273751849,0.648826765315408,0.0707911450003165","3.72827773491179,0.956546137600753,0.616250516619999,0.0824750789321538","3.78000308629953,0.929684773632621,0.686825976636575,0.0527423481720692",TRUE,TRUE
"5","2.04806679524682,0.997001628679229,0.618510030987695,0.00145509133473723","Nelder-Mead",0,-71823.7402612034,-74569.250698551,"3.34297256440733,0.965841150235328,0.586254921682281,0.0711562367798738","3.3931542453777,0.975811406305537,0.568359519069863,0.0811136473451819","3.22632938849401,0.955525441939231,0.60506238816517,0.0530017573139566",TRUE,TRUE
"6","1.416,0.984,0.444,0.101","Nelder-Mead",0,-71831.2015012721,-74571.7198198667,"3.38136328634526,0.968674870694686,0.585951592317478,0.0712067049159099","3.42163948976901,0.976298554375944,0.570630866322534,0.0807701655597647","3.23969549550538,0.955432424514177,0.606622862066187,0.0528494271875092",TRUE,TRUE
"7","5e-04,0.5,1,1","Nelder-Mead",1,-71830.854659585,-71243.1361837433,"3.39416214760893,0.968113392610079,0.587737616792781,0.0711727902500715","3.42109722444059,0.97633831177858,0.570548225790055,0.0807618653327233","2.23179742868647,1.12654914613326,0.351841874025501,0.0600081921450497",FALSE,TRUE
"8","2.5,1,1,1","Nelder-Mead",0,-71831.2000885768,-74571.718634968,"3.3810571356856,0.968764931334677,0.585827998296215,0.0712098623558313","3.42031025606993,0.97639011582357,0.570421118998665,0.0807629387349382","3.23970356883174,0.955470728312083,0.606553896021618,0.0528466980728846",TRUE,TRUE
"9","4,0.94,0.7029,0.0546","Nelder-Mead",0,-71831.2002423179,-74571.7197240987,"3.38197305130005,0.968647620876932,0.586042451853596,0.0712006168962713","3.42114656025013,0.976359511616848,0.57052414429509,0.0807647953857311","3.23963144959275,0.955428923941518,0.606610020616016,0.0528527840160017",TRUE,TRUE
"10","4,1,1,1","Nelder-Mead",0,-71830.3266103839,-74571.7195235313,"3.37148651941474,0.969696242359007,0.584470997977211,0.0711943617601933","3.42135258071722,0.976290290751328,0.570599970797917,0.0807527906355326","3.23959825622359,0.955475670340584,0.606551088847104,0.0528488555447975",FALSE,TRUE
"11","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","BFGS",1,2000,4000,"4.89632549856145,2.86937438214619,1.76740420842339,-29.2751666252631","4.89086938622513,6.89627316314731,1.82614416736804,-79.7950600615662","4.89368122562918,5.95093889967533,1.79892069496857,-66.5823252786673",TRUE,TRUE
"12","3,0.7,1,7e-04","BFGS",1,2000,4000,"2.99352647290283,4.15558701034898,1.17689093080271,-33.4092394094537","3.01088444561829,9.15688087468702,1.25565971522485,-100.238378431142","2.95674791889593,9.52105417705799,1.6287949387887,-66.8078706161266",TRUE,TRUE
"13","2.5,0.8,0.9,0.001","BFGS",1,2000,4000,"2.72421156593475,0.337504209704529,-0.201722294152039,-72.9834376329049","2.66748552152539,-0.205261937707215,0.0301656713560481,-53.4723707268763","2.55672604440935,1.34276614741171,0.668112034491897,-19.5080189060286",TRUE,TRUE
"14","4,0.5,0.8,9e-04","BFGS",1,2000,4000,"3.97509925642395,1.94873136382979,1.12875955544314,-32.1648702301066","3.98511205917404,1.30681458516138,0.989143713232197,-17.9287933200997","3.94993598624956,3.70958389334204,1.49807921105469,-71.1790749500342",TRUE,TRUE
"15","2.04806679524682,0.997001628679229,0.618510030987695,0.00145509133473723","BFGS",1,2000,4000,"342.877757906013,-3459.79196271436,-1997.33644416303,-7.82178952249768","456.281365479758,-4345.60501281232,-2579.83676783744,-9.23705434230175","54.928787065611,-597.22589168857,-328.394921562628,-0.574073217472817",TRUE,TRUE
"16","1.416,0.984,0.444,0.101","BFGS",0,-71831.2001518204,-74571.7177189899,"3.38137303424948,0.968656756206274,0.585978183117115,0.0712169336419362","3.42144703493588,0.976323465114871,0.570575648144492,0.0807735884880706","3.23988271196814,0.955442770563545,0.60662600216827,0.0528647184214024",TRUE,TRUE
"17","5e-04,0.5,1,1","BFGS",1,2000,4000,"0.87428293465008,1102.91452632617,1.00787600329204,-5481.54875851308","1.64979122984176,577.756819993636,1.00329251852236,-3267.79236627428","-0.775008295191685,525.657706332357,1.00458348476968,-2212.75639223861",TRUE,TRUE
"18","2.5,1,1,1","BFGS",1,2000,4000,"48.6712635555159,-1074.68728220685,-277.510139874561,-5563.05874395641","33.5713197170116,-663.403819639847,-183.317922077389,-3275.04695127011","17.5999438386862,-410.283462567371,-93.1922177973538,-2287.01179268648",TRUE,TRUE
"19","4,0.94,0.7029,0.0546","BFGS",0,-71831.2004371144,-74571.7197263024,"3.3811247522823,0.96867962676174,0.585932459947536,0.0712162057060179","3.42149515387735,0.976324762906089,0.570603753522854,0.0807594704089739","3.23948187646436,0.955473236156756,0.606542987045315,0.052850825819079",TRUE,TRUE
"20","4,1,1,1","BFGS",1,2000,4000,"29.4208474398183,-838.197695886833,-275.95292623539,-5666.76038417738","21.0939979478135,-509.800937530803,-180.630266071988,-3344.8195467545","12.3268494921867,-327.396758355848,-94.3226601634015,-2320.94083742324",TRUE,TRUE
"21","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","CG",1,2000,4000,"4.89632549856145,2.86937438214619,1.76740420842339,-29.2751666252631","4.89086938622513,6.89627316314731,1.82614416736804,-79.7950600615662","4.89368122562918,5.95093889967533,1.79892069496857,-66.5823252786673",TRUE,TRUE
"22","3,0.7,1,7e-04","CG",1,2000,4000,"2.99352647290283,4.15558701034898,1.17689093080271,-33.4092394094537","3.01088444561829,9.15688087468702,1.25565971522485,-100.238378431142","2.95674791889593,9.52105417705799,1.6287949387887,-66.8078706161266",TRUE,TRUE
"23","2.5,0.8,0.9,0.001","CG",1,2000,4000,"2.72421156593475,0.337504209704529,-0.201722294152039,-72.9834376329049","2.66748552152539,-0.205261937707215,0.0301656713560481,-53.4723707268763","2.55672604440935,1.34276614741171,0.668112034491897,-19.5080189060286",TRUE,TRUE
"24","4,0.5,0.8,9e-04","CG",1,2000,4000,"3.97509925642395,1.94873136382979,1.12875955544314,-32.1648702301066","3.98511205917404,1.30681458516138,0.989143713232197,-17.9287933200997","3.94993598624956,3.70958389334204,1.49807921105469,-71.1790749500342",TRUE,TRUE
"25","2.04806679524682,0.997001628679229,0.618510030987695,0.00145509133473723","CG",0,2000,-35183.2494453837,"12.7956878692434,-108.324760632406,-62.4187013081088,-482.448409723185","2.60757545649759,0.995134181884604,0.47456725257308,0.0810301101329383","10.2944511520334,-92.6147927663764,-50.7517155664238,-718.598729500304",FALSE,TRUE
"26","1.416,0.984,0.444,0.101","CG",0,-67766.1784095808,-72978.6825573376,"2.27422167416475,0.990129684366327,0.454998079901973,0.0763596805551426","2.71676197052945,0.995811205806808,0.485228485923083,0.0826706386586195","2.53697425744777,0.98667026136449,0.503547319944288,0.0548302589686709",FALSE,TRUE
"27","5e-04,0.5,1,1","CG",1,2000,4000,"0.87428293465008,1102.91452632617,1.00787600329204,-5481.54875851308","1.64979122984176,577.756819993636,1.00329251852236,-3267.79236627428","-0.775008295191685,525.657706332357,1.00458348476968,-2212.75639223861",TRUE,TRUE
"28","2.5,1,1,1","CG",1,2000,4000,"48.6712635555159,-1074.68728220685,-277.510139874561,-5563.05874395641","33.5713197170116,-663.403819639847,-183.317922077389,-3275.04695127011","17.5999438386862,-410.283462567371,-93.1922177973538,-2287.01179268648",TRUE,TRUE
"29","4,0.94,0.7029,0.0546","CG",0,-71370.3382085233,-73952.2830093515,"3.93307960615792,0.944636923793762,0.659842829860884,0.0718738326532795","3.89573358582096,0.955174937923762,0.633329343994363,0.0813984181332375","3.96198101597441,0.9264932448032,0.706689141290201,0.0538777028956497",FALSE,TRUE
"30","4,1,1,1","CG",1,2000,4000,"29.4208474398183,-838.197695886833,-275.95292623539,-5666.76038417738","21.0939979478135,-509.800937530803,-180.630266071988,-3344.8195467545","12.3268494921867,-327.396758355848,-94.3226601634015,-2320.94083742324",TRUE,TRUE
"31","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","L-BFGS-B",1,2000,4000,"4.89893369698083,0.580559452395629,1.73834303285452,-0.996086166472059","4.89892373984338,0.579789791559766,1.7384283272623,-0.996148068915321","4.89894562788619,0.581482146974246,1.73824083209873,-0.99601115755421",TRUE,TRUE
"32","3,0.7,1,7e-04","L-BFGS-B",1,2000,4000,"2.99980727031886,0.802879647006244,1.00526639221212,-0.993979851107988","3.00010820011087,0.784068172172456,1.0025414624228,-0.995756758564601","2.99935819531111,0.830892983348749,1.00933049993806,-0.990652387785348",TRUE,TRUE
"33","2.5,0.8,0.9,0.001","L-BFGS-B",1,2000,4000,"2.50307162012301,0.793663969249954,0.884906789466562,-0.998861297810825","2.50313114673473,0.78120659860545,0.88373842172693,-0.998686233303339","2.50290634101994,0.82780845262318,0.888119293118282,-0.998538439455217",TRUE,TRUE
"34","4,0.5,0.8,9e-04","L-BFGS-B",1,2000,4000,"3.99922668658564,0.544991563968034,0.810209902911,-0.998034892293097","3.99917053464116,0.544950793210458,0.810537935353335,-0.998033276097787","3.99929740374994,0.545043164516262,0.809796814102334,-0.998036755817061",TRUE,TRUE
"35","2.04806679524682,0.997001628679229,0.618510030987695,0.00145509133473723","L-BFGS-B",0,-71831.2001026998,-74571.7176597391,"3.38142312547329,0.968644789055767,0.58600106255127,0.0712167939557664","3.42149680467329,0.976314766071307,0.570595107084783,0.0807733696747358","3.2399247432972,0.955440959371772,0.606631771235313,0.0528649810579042",TRUE,TRUE
"36","1.416,0.984,0.444,0.101","L-BFGS-B",0,-71831.2000024863,-74571.7176259464,"3.38137939420671,0.968657459672784,0.585983454346438,0.0712176195111716","3.42149572256334,0.976314859161059,0.570594911534225,0.0807733797157879","3.239948747166,0.955442536895075,0.606632298807886,0.0528650848080151",TRUE,TRUE
"37","5e-04,0.5,1,1","L-BFGS-B",0,-71831.1997408523,-74571.7185335455,"3.38172213676636,0.968639204243759,0.58602952781101,0.0712167500003773","3.42162954774304,0.976303552243502,0.570612986357282,0.0807715286173853","3.23957899376,0.95550714536711,0.606533076562425,0.0528565433508426",TRUE,TRUE
"38","2.5,1,1,1","L-BFGS-B",0,-71831.2000460512,-74571.7176372754,"3.38136246429574,0.968660291184243,0.585978102259868,0.0712175500792103","3.42149846230589,0.976314907663469,0.570594632480753,0.0807733320205876","3.23994521866786,0.955438620531562,0.606636411831449,0.0528650320278415",TRUE,TRUE
"39","4,0.94,0.7029,0.0546","L-BFGS-B",0,-71831.2000530108,-74571.71761879,"3.38136436487542,0.968659581778584,0.585979363929802,0.0712175042766417","3.42149810243046,0.976314134338453,0.570595831197842,0.0807733629186221","3.23994218186298,0.955438438883545,0.606636413287252,0.0528650799050813",TRUE,TRUE
"40","4,1,1,1","L-BFGS-B",0,-71831.2000409458,-74571.7179842633,"3.38136470973739,0.968659764862963,0.585979095848111,0.0712175533101679","3.42148435100082,0.976314421410978,0.57059414150964,0.0807734634272347","3.2399225462244,0.955444287221255,0.606625739814737,0.0528637371697103",TRUE,TRUE
